group_id,industry_code,sic_start,sic_end,sic_description
1,Cnsmr,100,999,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,2000,2399,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,2700,2749,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,2770,2799,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3100,3199,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3940,3989,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,2500,2519,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,2590,2599,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3630,3659,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3710,3711,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3714,3714,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3716,3716,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3750,3751,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3792,3792,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3900,3939,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,3990,3999,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,5000,5999,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,7200,7299,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
1,Cnsmr,7600,7699,"Consumer Durables, Nondurables, Wholesale, Retail, and Some Services (Laundries, Repair Shops):"
2,Manuf,2520,2589,"Manufacturing, Energy, and Utilities:"
2,Manuf,2600,2699,"Manufacturing, Energy, and Utilities:"
2,Manuf,2750,2769,"Manufacturing, Energy, and Utilities:"
2,Manuf,2800,2829,"Manufacturing, Energy, and Utilities:"
2,Manuf,2840,2899,"Manufacturing, Energy, and Utilities:"
2,Manuf,3000,3099,"Manufacturing, Energy, and Utilities:"
2,Manuf,3200,3569,"Manufacturing, Energy, and Utilities:"
2,Manuf,3580,3621,"Manufacturing, Energy, and Utilities:"
2,Manuf,3623,3629,"Manufacturing, Energy, and Utilities:"
2,Manuf,3700,3709,"Manufacturing, Energy, and Utilities:"
2,Manuf,3712,3713,"Manufacturing, Energy, and Utilities:"
2,Manuf,3715,3715,"Manufacturing, Energy, and Utilities:"
2,Manuf,3717,3749,"Manufacturing, Energy, and Utilities:"
2,Manuf,3752,3791,"Manufacturing, Energy, and Utilities:"
2,Manuf,3793,3799,"Manufacturing, Energy, and Utilities:"
2,Manuf,3860,3899,"Manufacturing, Energy, and Utilities:"
2,Manuf,1200,1399,"Manufacturing, Energy, and Utilities:"
2,Manuf,2900,2999,"Manufacturing, Energy, and Utilities:"
2,Manuf,4900,4949,"Manufacturing, Energy, and Utilities:"
3,HiTec,3570,3579,"Business Equipment, Telephone and Television Transmission:"
3,HiTec,3622,3622,"Business Equipment, Telephone and Television Transmission: Industrial controls"
3,HiTec,3660,3692,"Business Equipment, Telephone and Television Transmission:"
3,HiTec,3694,3699,"Business Equipment, Telephone and Television Transmission:"
3,HiTec,3810,3839,"Business Equipment, Telephone and Television Transmission:"
3,HiTec,7370,7372,"Business Equipment, Telephone and Television Transmission: Services - computer programming and data processing"
3,HiTec,7373,7373,"Business Equipment, Telephone and Television Transmission: Computer integrated systems design"
3,HiTec,7374,7374,"Business Equipment, Telephone and Television Transmission: Services - computer processing, data preparation and processing"
3,HiTec,7375,7375,"Business Equipment, Telephone and Television Transmission: Services - information retrieval services"
3,HiTec,7376,7376,"Business Equipment, Telephone and Television Transmission: Services - computer facilities management service"
3,HiTec,7377,7377,"Business Equipment, Telephone and Television Transmission: Services - computer rental and leasing"
3,HiTec,7378,7378,"Business Equipment, Telephone and Television Transmission: Services - computer maintenance and repair"
3,HiTec,7379,7379,"Business Equipment, Telephone and Television Transmission: Services - computer related services"
3,HiTec,7391,7391,"Business Equipment, Telephone and Television Transmission: Services - R&D labs"
3,HiTec,8730,8734,"Business Equipment, Telephone and Television Transmission: Services - research, development, testing labs"
3,HiTec,4800,4899,"Business Equipment, Telephone and Television Transmission:"
4,Hlth,2830,2839,"Healthcare, Medical Equipment, and Drugs:"
4,Hlth,3693,3693,"Healthcare, Medical Equipment, and Drugs:"
4,Hlth,3840,3859,"Healthcare, Medical Equipment, and Drugs:"
4,Hlth,8000,8099,"Healthcare, Medical Equipment, and Drugs:"
