group_id,industry_code,sic_start,sic_end,sic_description
1,Food,100,199,Food Products: Agricultural production - crops
1,Food,200,299,Food Products: Agricultural production - livestock
1,Food,700,799,Food Products: Agricultural services
1,Food,910,919,Food Products: Commercial fishing
1,Food,2000,2009,Food Products: Food and kindred products
1,Food,2010,2019,Food Products: Meat products
1,Food,2020,2029,Food Products: Dairy products
1,Food,2030,2039,Food Products: Canned & preserved fruits & vegetables
1,Food,2040,2046,Food Products: Flour and other grain mill products
1,Food,2048,2048,Food Products: Prepared feeds for animals
1,Food,2050,2059,Food Products: Bakery products
1,Food,2060,2063,Food Products: Sugar and confectionery products
1,Food,2064,2068,Food Products: Candy and other confectionery
1,Food,2070,2079,Food Products: Fats and oils
1,Food,2086,2086,Food Products: Bottled-canned soft drinks
1,Food,2087,2087,Food Products: Flavoring syrup
1,Food,2090,2092,Food Products: Misc food preparations and kindred products
1,Food,2095,2095,Food Products: Roasted coffee
1,Food,2096,2096,Food Products: Potato chips
1,Food,2097,2097,Food Products: Manufactured ice
1,Food,2098,2099,Food Products: Misc food preparations
2,Beer,2080,2080,Beer & Liquor: Beverages
2,Beer,2082,2082,Beer & Liquor: Malt beverages
2,Beer,2083,2083,Beer & Liquor: Malt
2,Beer,2084,2084,Beer & Liquor: Wine
2,Beer,2085,2085,Beer & Liquor: Distilled and blended liquors
3,Smoke,2100,2199,Tobacco Products: Tobacco products
4,Games,920,999,"Recreation: Fishing, hunting & trapping"
4,Games,3650,3651,Recreation: Household audio visual equipment
4,Games,3652,3652,Recreation: Phonograph records
4,Games,3732,3732,Recreation: Boat building and repairing
4,Games,3930,3931,Recreation: Musical instruments
4,Games,3940,3949,Recreation: Toys
4,Games,7800,7829,Recreation: Services - motion picture production and distribution
4,Games,7830,7833,Recreation: Services - motion picture theaters
4,Games,7840,7841,Recreation: Services - video rental
4,Games,7900,7900,Recreation: Services - amusement and recreation
4,Games,7910,7911,Recreation: Services - dance studios
4,Games,7920,7929,"Recreation: Services - bands, entertainers"
4,Games,7930,7933,Recreation: Services - bowling centers
4,Games,7940,7949,Recreation: Services - professional sports
4,Games,7980,7980,Recreation: Amusement and recreation services (?)
4,Games,7990,7999,Recreation: Services - Misc entertainment
5,Books,2700,2709,Printing and Publishing: Printing publishing and allied
5,Books,2710,2719,Printing and Publishing: Newspapers: publishing-printing
5,Books,2720,2729,Printing and Publishing: Periodicals: publishing-printing
5,Books,2730,2739,Printing and Publishing: Books: publishing-printing
5,Books,2740,2749,Printing and Publishing: Misc publishing
5,Books,2750,2759,Printing and Publishing: Commercial printing
5,Books,2770,2771,Printing and Publishing: Greeting card
5,Books,2780,2789,Printing and Publishing: Bookbinding
5,Books,2790,2799,Printing and Publishing: Service industries for the print trade
5,Books,3993,3993,Printing and Publishing: Signs & advertising specialties
6,Hshld,2047,2047,Consumer Goods: Dog and cat food
6,Hshld,2391,2392,"Consumer Goods: Curtains, home furnishings"
6,Hshld,2510,2519,Consumer Goods: Household furniture
6,Hshld,2590,2599,Consumer Goods: Misc furniture and fixtures
6,Hshld,2840,2843,Consumer Goods: Soap & other detergents
6,Hshld,2844,2844,"Consumer Goods: Perfumes, cosmetics and other toilet preparations"
6,Hshld,3160,3161,Consumer Goods: Luggage
6,Hshld,3170,3171,Consumer Goods: Handbags and purses
6,Hshld,3172,3172,"Consumer Goods: Personal leather goods, except handbags and purses"
6,Hshld,3190,3199,Consumer Goods: Leather goods
6,Hshld,3229,3229,Consumer Goods: Pressed and blown glass
6,Hshld,3260,3260,Consumer Goods: Pottery and related products
6,Hshld,3262,3263,Consumer Goods: China and earthenware table articles
6,Hshld,3269,3269,Consumer Goods: Pottery products
6,Hshld,3230,3231,Consumer Goods: Glass products
6,Hshld,3630,3639,Consumer Goods: Household appliances
6,Hshld,3750,3751,"Consumer Goods: Motorcycles, bicycles and parts  (Harley & Huffy)"
6,Hshld,3800,3800,"Consumer Goods: Misc instruments, photo goods & watches"
6,Hshld,3860,3861,"Consumer Goods: Photographic equipment  (Kodak etc, but also Xerox)"
6,Hshld,3870,3873,"Consumer Goods: Watches, clocks and parts"
6,Hshld,3910,3911,"Consumer Goods: Jewelry, precious metals"
6,Hshld,3914,3914,Consumer Goods: Silverware
6,Hshld,3915,3915,Consumer Goods: Jewelers' findings and materials
6,Hshld,3960,3962,Consumer Goods: Costume jewelry and novelties
6,Hshld,3991,3991,Consumer Goods: Brooms and brushes
6,Hshld,3995,3995,Consumer Goods: Burial caskets
7,Clths,2300,2390,Apparel: Apparel and other finished products
7,Clths,3020,3021,Apparel: Rubber and plastics footwear
7,Clths,3100,3111,Apparel: Leather tanning and finishing
7,Clths,3130,3131,Apparel: Boot & shoe cut stock & findings
7,Clths,3140,3149,"Apparel: Footwear, except rubber"
7,Clths,3150,3151,Apparel: Leather gloves and mittens
7,Clths,3963,3965,"Apparel: Fasteners, buttons, needles, pins"
8,Hlth,2830,2830,"Healthcare, Medical Equipment, Pharmaceutical Products: Drugs"
8,Hlth,2831,2831,"Healthcare, Medical Equipment, Pharmaceutical Products: Biological products"
8,Hlth,2833,2833,"Healthcare, Medical Equipment, Pharmaceutical Products: Medicinal chemicals"
8,Hlth,2834,2834,"Healthcare, Medical Equipment, Pharmaceutical Products: Pharmaceutical preparations"
8,Hlth,2835,2835,"Healthcare, Medical Equipment, Pharmaceutical Products: In vitro, in vivo diagnostic substances"
8,Hlth,2836,2836,"Healthcare, Medical Equipment, Pharmaceutical Products: Biological products, except diagnostic substances"
8,Hlth,3693,3693,"Healthcare, Medical Equipment, Pharmaceutical Products: X-ray, electromedical app"
8,Hlth,3840,3849,"Healthcare, Medical Equipment, Pharmaceutical Products: Surgical, medical, and dental instruments and supplies"
8,Hlth,3850,3851,"Healthcare, Medical Equipment, Pharmaceutical Products: Ophthalmic goods"
8,Hlth,8000,8099,"Healthcare, Medical Equipment, Pharmaceutical Products: Services - health"
9,Chems,2800,2809,Chemicals: Chemicals and allied products
9,Chems,2810,2819,Chemicals: Industrial inorganic chemicals
9,Chems,2820,2829,Chemicals: Plastic material & synthetic resin/rubber
9,Chems,2850,2859,Chemicals: Paints
9,Chems,2860,2869,Chemicals: Industrial organic chemicals
9,Chems,2870,2879,Chemicals: Agriculture chemicals
9,Chems,2890,2899,Chemicals: Misc chemical products
10,Txtls,2200,2269,Textiles: Textile mill products
10,Txtls,2270,2279,Textiles: Floor covering mills
10,Txtls,2280,2284,Textiles: Yarn and thread mills
10,Txtls,2290,2295,Textiles: Misc textile goods
10,Txtls,2297,2297,Textiles: Non-woven fabrics
10,Txtls,2298,2298,Textiles: Cordage and twine
10,Txtls,2299,2299,Textiles: Misc textile products
10,Txtls,2393,2395,"Textiles: Textile bags, canvas products"
10,Txtls,2397,2399,Textiles: Misc textile products
11,Cnstr,800,899,Construction and Construction Materials: Forestry
11,Cnstr,1500,1511,Construction and Construction Materials: Build construction - general contractors
11,Cnstr,1520,1529,Construction and Construction Materials: General building contractors - residential
11,Cnstr,1530,1539,Construction and Construction Materials: Operative builders
11,Cnstr,1540,1549,Construction and Construction Materials: General building contractors - non-residential
11,Cnstr,1600,1699,Construction and Construction Materials: Heavy construction - not building contractors
11,Cnstr,1700,1799,Construction and Construction Materials: Construction - special contractors
11,Cnstr,2400,2439,Construction and Construction Materials: Lumber and wood products
11,Cnstr,2450,2459,Construction and Construction Materials: Wood buildings & mobile homes
11,Cnstr,2490,2499,Construction and Construction Materials: Misc wood products
11,Cnstr,2660,2661,Construction and Construction Materials: Building paper and board mills
11,Cnstr,2950,2952,Construction and Construction Materials: Paving & roofing materials
11,Cnstr,3200,3200,"Construction and Construction Materials: Stone, clay, glass, concrete, etc"
11,Cnstr,3210,3211,Construction and Construction Materials: Flat glass
11,Cnstr,3240,3241,"Construction and Construction Materials: Cement, hydraulic"
11,Cnstr,3250,3259,Construction and Construction Materials: Structural clay products
11,Cnstr,3261,3261,Construction and Construction Materials: Vitreous china plumbing fixtures
11,Cnstr,3264,3264,Construction and Construction Materials: Porcelain electrical supplies
11,Cnstr,3270,3275,"Construction and Construction Materials: Concrete, gypsum & plaster products"
11,Cnstr,3280,3281,Construction and Construction Materials: Cut stone and stone products
11,Cnstr,3290,3293,Construction and Construction Materials: Abrasive and asbestos products
11,Cnstr,3295,3299,Construction and Construction Materials: Misc nonmetallic mineral products
11,Cnstr,3420,3429,"Construction and Construction Materials: Cutlery, hand tools and general hardware"
11,Cnstr,3430,3433,Construction and Construction Materials: Heating equipment & plumbing fixtures
11,Cnstr,3440,3441,Construction and Construction Materials: Fabricated structural metal products
11,Cnstr,3442,3442,"Construction and Construction Materials: Metal doors, frames"
11,Cnstr,3446,3446,Construction and Construction Materials: Architectural or ornamental metal work
11,Cnstr,3448,3448,Construction and Construction Materials: Prefabricated metal buildings and components
11,Cnstr,3449,3449,Construction and Construction Materials: Misc structural metal work
11,Cnstr,3450,3451,Construction and Construction Materials: Screw machine products
11,Cnstr,3452,3452,"Construction and Construction Materials: Bolts, nuts, screws, rivets and washers"
11,Cnstr,3490,3499,Construction and Construction Materials: Misc fabricated metal products
11,Cnstr,3996,3996,Construction and Construction Materials: Hard surface floor coverings
12,Steel,3300,3300,Steel Works Etc: Primary metal industries
